用户信息表,WISAGR_AUTH_USER
权限配置表,WISAGR_AUTH_PERMISSION
用户权限表,WISAGR_AUTH_USER_PERMISSION
用户分配记录表,WISAGR_AUTH_ADMIN_LOG
用户行为记录表,WISAGR_LOG_AUTH_USER
农场信息表,WISAGR_FARM
分区信息表,WISAGR_FARM_PARTITION
分块信息表,WISAGR_FARM_BLOCK
作物基础信息表,WISAGR_CROP_BASE
作物批次表,WISAGR_CROP_BATCH
作物播种记录表,WISAGR_CROP_SOW_LOG
作物信息配置表,WISAGR_CROP_CONF
农药基础信息表,WISAGR_AC_BASE
农药出入库记录表,WISAGR_AC_STORAGE_LOG
农药使用记录表,WISAGR_AC_USAGE_LOG
肥料基础信息表,WISAGR_FER_BASE
肥料出入库记录表,WISAGR_FER_STORAGE_LOG
肥料使用记录表,WISAGR_FER_USAGE_LOG
肥料配置信息表,WISAGR_FER_CONF
采收记录表,WISAGR_HARVEST_LOG
传感器阈值控制表,WISAGR_CONTROL_THRESHOLD
传感器控制单元记录表,WISAGR_CONTROL_UNIT_LOG
